Total Conflicts,event_type
308867.0,
,1026.0
,79.0
,144.0
,1.0
,107.0
,1.0
,1.0
,14.0
,1420.0
,342.0
,920.0
,268.0
,145.0
,13.0
,669.0
,1.0
,2815.0
,1.0
,87.0
,716.0
,59.0
,282.0
,1.0
,1.0
,1407.0
,113.0
,4.0
,8593.0
,425.0
,1444.0
,269.0
,68.0
,3266.0
,1697.0
,46.0
,392.0
,106.0
,1126.0
,747.0
,4129.0
,64.0
,1.0
,222.0
,147.0
,155.0
,5.0
,263.0
,205.0
,2421.0
,303.0
,5.0
,2.0
,89.0
,8.0
,508.0
,112.0
,110.0
,13.0
,24.0
,2430.0
,3.0
,10.0
,356.0
,5941.0
,20.0
,24.0
,30.0
,6.0
,229.0
,4412.0
,231.0
,791.0
,11.0
,54.0
,9.0
,273.0
,207.0
,22.0
,82.0
,1689.0
,1035.0
,148.0
,79.0
,23382.0
,3236.0
,3290.0
,7959.0
,395.0
,4111.0
,2686.0
,110.0
,424.0
,1698.0
,286.0
,641.0
,2859.0
,2.0
,127.0
,10.0
,160.0
,47.0
,10990.0
,14.0
,24.0
,398.0
,1.0
,80.0
,27.0
,635.0
,123.0
,214.0
,64.0
,1629.0
,47.0
,1.0
,128.0
,213.0
,95.0
,147.0
,12171.0
,191.0
,4.0
,59.0
,122.0
,3183.0
,626.0
,9653.0
,52.0
,1412.0
,540.0
,212.0
,241.0
,66.0
,637.0
,4573.0
,46.0
,148.0
,1.0
,376.0
,4.0
,7906.0
,17933.0
,254.0
,285.0
,713.0
,1266.0
,855.0
,1502.0
,500.0
,298.0
,1.0
,5.0
,113.0
,348.0
,12468.0
,13.0
,7.0
,2.0
,1.0
,1.0
,1.0
,1.0
,3.0
,8.0
,4.0
,174.0
,277.0
,2.0
,11.0
,5.0
,4.0
,192.0
,110.0
,1.0
,2652.0
,1863.0
,4380.0
,495.0
,3279.0
,737.0
,5666.0
,35.0
,1000.0
,163.0
,12242.0
,801.0
,8.0
,75.0
,322.0
,39.0
,1.0
,475.0
,522.0
,5122.0
,1.0
,362.0
,45188.0
,1.0
,877.0
,9983.0
,42.0
,80.0
,3.0
,2.0
,1866.0
,5.0
,3.0
,8913.0
,25.0
,79.0
,32.0
